iter	Passed	Remaining
870	1697	251
871	1698	249
872	1699	247
873	1702	245
874	1704	243
875	1705	241
876	1707	239
877	1709	237
878	1711	235
879	1713	233
880	1714	231
881	1717	229
882	1718	227
883	1719	225
884	1721	223
885	1722	221
886	1724	219
887	1726	217
888	1727	215
889	1728	213
890	1732	211
891	1734	209
892	1736	208
893	1740	206
894	1742	204
895	1744	202
896	1747	200
897	1749	198
898	1750	196
899	1752	194
900	1754	192
901	1756	190
902	1758	188
903	1760	187
904	1762	185
905	1764	183
906	1765	181
907	1767	179
908	1769	177
909	1770	175
910	1772	173
911	1773	171
912	1776	169
913	1777	167
914	1779	165
915	1780	163
916	1783	161
917	1785	159
918	1787	157
919	1789	155
920	1792	153
921	1794	151
922	1795	149
923	1798	147
924	1799	145
925	1801	144
926	1806	142
927	1808	140
928	1810	138
929	1812	136
930	1815	134
931	1816	132
932	1818	130
933	1821	128
934	1822	126
935	1824	124
936	1826	122
937	1829	120
938	1831	118
939	1837	117
940	1840	115
941	1843	113
942	1846	111
943	1848	109
944	1851	107
945	1853	105
946	1854	103
947	1856	101
948	1858	99
949	1861	97
950	1863	95
951	1865	94
952	1866	92
953	1867	90
954	1868	88
955	1869	86
956	1870	84
957	1872	82
958	1874	80
959	1875	78
960	1876	76
961	1877	74
962	1878	72
963	1880	70
964	1881	68
965	1882	66
966	1883	64
967	1884	62
968	1885	60
969	1886	58
970	1888	56
971	1889	54
972	1890	52
973	1892	50
974	1893	48
975	1895	46
976	1897	44
977	1898	42
978	1899	40
979	1900	38
980	1902	36
981	1903	34
982	1904	32
983	1905	30
984	1906	29
985	1907	27
986	1910	25
987	1911	23
988	1912	21
989	1913	19
990	1915	17
991	1917	15
992	1919	13
993	1920	11
994	1922	9
995	1925	7
996	1927	5
997	1929	3
998	1932	1
999	1933	0
